2024-04-28 20:37:41,574 INFO    Thread-22 (_run_job):73878 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-04-28 20:37:41,575 INFO    Thread-22 (_run_job):73878 [wandb_setup.py:_flush():76] Configure stats pid to 73878
2024-04-28 20:37:41,575 INFO    Thread-22 (_run_job):73878 [wandb_setup.py:_flush():76] Loading settings from /Users/christophermao/.config/wandb/settings
2024-04-28 20:37:41,575 INFO    Thread-22 (_run_job):73878 [wandb_setup.py:_flush():76] Loading settings from /Users/christophermao/Documents/GitHub/SoccerAI/envs/wandb/settings
2024-04-28 20:37:41,575 INFO    Thread-22 (_run_job):73878 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'CartPole', 'entity': 'm_christopher', 'root_dir': '/Users/christophermao/Documents/GitHub/SoccerAI/envs', 'run_id': 'acfp0y7h', 'sweep_param_path': '/Users/christophermao/Documents/GitHub/SoccerAI/envs/wandb/sweep-5qpg8pmx/config-acfp0y7h.yaml', 'sweep_id': '5qpg8pmx'}
2024-04-28 20:37:41,575 INFO    Thread-22 (_run_job):73878 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-28 20:37:41,575 INFO    Thread-22 (_run_job):73878 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'envs/Cart_Pole_Testing.py', 'program_abspath': '/Users/christophermao/Documents/GitHub/SoccerAI/envs/Cart_Pole_Testing.py', 'program': '/Users/christophermao/Documents/GitHub/SoccerAI/envs/Cart_Pole_Testing.py'}
2024-04-28 20:37:41,575 INFO    Thread-22 (_run_job):73878 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-28 20:37:41,575 INFO    Thread-22 (_run_job):73878 [wandb_init.py:_log_setup():521] Logging user logs to /Users/christophermao/Documents/GitHub/SoccerAI/envs/wandb/run-20240428_203741-acfp0y7h/logs/debug.log
2024-04-28 20:37:41,575 INFO    Thread-22 (_run_job):73878 [wandb_init.py:_log_setup():522] Logging internal logs to /Users/christophermao/Documents/GitHub/SoccerAI/envs/wandb/run-20240428_203741-acfp0y7h/logs/debug-internal.log
2024-04-28 20:37:41,575 INFO    Thread-22 (_run_job):73878 [wandb_init.py:init():561] calling init triggers
2024-04-28 20:37:41,575 INFO    Thread-22 (_run_job):73878 [wandb_init.py:init():568] wandb.init called with sweep_config: {'Eps_decay': 19039, 'Eps_end': 0.21631253274291504, 'Eps_start': 0.5554872273939183, 'Lr': 0.011061762516282133, 'fc_layer': 100, 'mem_size': 13799, 'save_interval': 1985, 'timesteps': 35702}
config: {}
2024-04-28 20:37:41,575 INFO    Thread-22 (_run_job):73878 [wandb_init.py:init():611] starting backend
2024-04-28 20:37:41,575 INFO    Thread-22 (_run_job):73878 [wandb_init.py:init():615] setting up manager
2024-04-28 20:37:41,582 INFO    Thread-22 (_run_job):73878 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-04-28 20:37:41,582 INFO    Thread-22 (_run_job):73878 [wandb_init.py:init():623] backend started and connected
2024-04-28 20:37:41,590 INFO    Thread-22 (_run_job):73878 [wandb_run.py:_config_callback():1347] config_cb None None {'Eps_decay': 19039, 'Eps_end': 0.21631253274291504, 'Eps_start': 0.5554872273939183, 'Lr': 0.011061762516282133, 'fc_layer': 100, 'mem_size': 13799, 'save_interval': 1985, 'timesteps': 35702}
2024-04-28 20:37:41,591 INFO    Thread-22 (_run_job):73878 [wandb_init.py:init():715] updated telemetry
2024-04-28 20:37:41,607 INFO    Thread-22 (_run_job):73878 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-04-28 20:37:41,874 INFO    Thread-22 (_run_job):73878 [wandb_run.py:_on_init():2357] communicating current version
2024-04-28 20:37:41,980 INFO    Thread-22 (_run_job):73878 [wandb_run.py:_on_init():2366] got version response 
2024-04-28 20:37:41,981 INFO    Thread-22 (_run_job):73878 [wandb_init.py:init():799] starting run threads in backend
2024-04-28 20:37:42,131 INFO    Thread-22 (_run_job):73878 [wandb_run.py:_console_start():2335] atexit reg
2024-04-28 20:37:42,132 INFO    Thread-22 (_run_job):73878 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-04-28 20:37:42,132 INFO    Thread-22 (_run_job):73878 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-04-28 20:37:42,132 INFO    Thread-22 (_run_job):73878 [wandb_run.py:_redirect():2280] Redirects installed.
2024-04-28 20:37:42,133 INFO    Thread-22 (_run_job):73878 [wandb_init.py:init():842] run started, returning control to user process
2024-04-28 20:54:07,613 INFO    Thread-22 (_run_job):73878 [wandb_run.py:_finish():2064] finishing run m_christopher/CartPole/acfp0y7h
2024-04-28 20:54:07,613 INFO    Thread-22 (_run_job):73878 [wandb_run.py:_atexit_cleanup():2304] got exitcode: 0
2024-04-28 20:54:07,613 INFO    Thread-22 (_run_job):73878 [wandb_run.py:_restore():2287] restore
2024-04-28 20:54:07,614 INFO    Thread-22 (_run_job):73878 [wandb_run.py:_restore():2293] restore done
2024-04-28 20:54:12,167 INFO    Thread-22 (_run_job):73878 [wandb_run.py:_footer_history_summary_info():3936] rendering history
2024-04-28 20:54:12,169 INFO    Thread-22 (_run_job):73878 [wandb_run.py:_footer_history_summary_info():3968] rendering summary
2024-04-28 20:54:12,176 INFO    Thread-22 (_run_job):73878 [wandb_run.py:_footer_sync_info():3895] logging synced files
